maxPutTime,maxPutListTime + ,maxGetTime,maxGetListTime,maxDeleteTime,maxDeleteListTime,putRollingAverage,putListRollingAverage,getRollingAverage,getListRollingAverage,deleteRollingAverage,deleteListRollingAverage,putRollingMax,putListRollingMax,getRollingMax,getListRollingMax,deleteRollingMax,deleteListRollingMax,putPrimary,putFailover,putListPrimary,putListFailover,getPrimary,getFailover,getListPrimary,getListFailover,deletePrimary,deleteFailover,deleteListPrimary,deleteListFailover
573,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,10393,7308,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,13,0,0,0,0,0,454,0,0,0,0,0,10484,7317,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,10584,7317,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,0,10668,7333,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,29,0,0,0,0,0,10760,7341,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,10860,7341,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,10956,7345,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,11056,7345,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,9,0,0,0,0,0,351,0,0,0,0,0,11153,7348,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,7,0,0,0,0,0,27,0,0,0,0,0,11245,7356,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,0,11332,7369,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,11432,7369,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,11528,7373,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,11620,7381,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,25,0,0,0,0,0,11716,7385,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,11812,7389,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,27,0,0,0,0,0,11908,7393,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,12008,7393,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,60,0,0,0,0,0,12101,7400,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,12201,7400,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0,0,0,12289,7412,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,7,0,0,0,0,0,249,0,0,0,0,0,12386,7415,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,12482,7419,0,0,0,0,0,0,0,0,0,0
